Date,Open,High,Low,Close,Adj Close,Volume
25-08-2004,149.837006,149.837006,122.375,123.494003,65.250443,136928
26-08-2004,124,124.625,121.912003,122.375,64.659195,40443200
27-08-2004,122.800003,122.800003,119.82,120.332001,63.579727,30646000
30-08-2004,121.237999,123.75,120.625,123.345001,65.171692,24465208
31-08-2004,123.311996,123.75,122,123.512001,65.259933,21194656
01-09-2004,123.75,124.375,122.949997,123.487999,65.247246,19935544
02-09-2004,123.737999,125.574997,123.25,124.207001,65.627159,21356352
03-09-2004,125.75,137.5,123.794998,124.732002,65.904549,9869856
06-09-2004,129.988007,129.988007,124.112999,124.357002,65.706398,9038672
07-09-2004,129.375,129.375,124.375,124.449997,65.755547,5772232
08-09-2004,124.5,125.099998,123.887001,124.212997,65.630333,6593984
09-09-2004,124.625,124.737999,122.307999,122.495003,64.722603,7947184
10-09-2004,123.75,123.75,122,123.599998,65.306435,6415072
13-09-2004,123.875,126.938004,123.875,125.438004,66.27755,20904912
14-09-2004,125.625,127.349998,125.370003,126.957001,67.080177,15335472
15-09-2004,127.25,127.5,125.150002,125.762001,66.448753,11988288
16-09-2004,125.875,126.875,125.311996,126.057999,66.605164,7358224
17-09-2004,126.5,128.738007,126.287003,128.061996,67.663994,14627896
20-09-2004,129.050003,129.613007,127.519997,127.862999,67.558884,8552224
21-09-2004,128.106995,131.061996,127.75,130.725006,69.071068,13897080
22-09-2004,131.050003,132,129.636993,131.507996,69.484795,15371584
23-09-2004,131,131.125,128.375,128.783005,68.044991,15819680
24-09-2004,128.636993,130,128.25,128.600006,67.948273,8083208
27-09-2004,128.438004,129.061996,126.875,127.595001,67.417244,8229512
28-09-2004,127,128.425003,126.561996,126.945,67.073807,6339416
29-09-2004,127.407997,129.125,127.019997,128.875,68.093567,11737176
30-09-2004,129.449997,130.113007,127.582001,128.386993,67.835732,12521432
01-10-2004,128.625,132.057007,128.294998,130.962006,69.196274,10968888
04-10-2004,132.125,135.125,131.807007,134.561996,71.098396,15129824
05-10-2004,135.037994,136.125,134.438004,135.087006,71.375793,14341288
06-10-2004,135.125,137.850006,134.382996,135.199997,71.435509,17670664
07-10-2004,135.375,137.5,135.375,137.136993,72.458977,10080128
08-10-2004,137.25,138.875,136.875,137.257996,72.522881,8558920
11-10-2004,137.5,138.938004,135.625,136.162994,71.944328,9332056
12-10-2004,138.75,139.375,134.707993,135.557007,71.624153,15600512
13-10-2004,null,null,null,null,null,null
14-10-2004,137.875,140.5,136.007996,139.524994,73.720688,19225984
15-10-2004,140.212006,142.625,139.658005,140.75,74.367935,17799744
18-10-2004,141.75,142.75,140.658005,142.158005,75.111916,13693344
19-10-2004,142.520004,143.587006,142.011993,142.899994,75.503952,11767128
20-10-2004,143.100006,143.738007,141.125,141.658005,74.847717,7206832
21-10-2004,142.158005,142.375,140.25,140.695007,74.338898,6413520
22-10-2004,null,null,null,null,null,null
25-10-2004,140.625,140.875,138.845001,139.669998,73.79731,9390272
26-10-2004,139.449997,142.619995,139.449997,142.149994,75.107658,6932760
27-10-2004,142.783005,143.5,141.899994,142.488007,75.286278,7837656
28-10-2004,143.125,146.850006,143.125,145.744995,78.663383,18591416
29-10-2004,145.994995,145.994995,143.145004,144.533005,78.009232,8661776
01-11-2004,143.75,146.807007,142.787994,146.332993,78.980728,6137568
02-11-2004,141.25,147.470001,140.625,144.962006,78.240776,8864040
03-11-2004,145.125,148,145.125,146.899994,79.286743,8978136
04-11-2004,147.720001,148.488007,145.962006,146.300003,78.962906,6555808
05-11-2004,146.744995,147.5,145,145.682007,78.629364,5023848
08-11-2004,145.625,148.613007,144.5,148.020004,79.891296,10291728
09-11-2004,148.375,149.738007,147.125,148.550003,80.177361,7338712
10-11-2004,148.875,149.875,148.761993,149.294998,80.579422,5734392
